,vocabs,frequency
167,insecurity,4
168,longitudinal,8
169,study,55
170,households,4
171,indonesia,7
172,effect,8
173,land,25
174,welfare,3
175,dynamics,8
176,wider,1
177,nets,1
178,credit,1
179,mixed,3
180,methods,8
181,lending,1
182,caste,1
183,relations,3
184,bihar,1
185,addressing,2
186,gendered,2
187,varietal,1
188,trait,2
189,preferences,7
190,maize,1
191,intervention,4
192,change,43
193,life,13
194,vietnam,5
195,panel,3
196,data,30
197,flyer,1
198,dilemma,1
199,logger,1
200,case,66
201,justice,9
202,extent,1
203,farm,1
204,diversify,1
205,marginalized,2
206,people,10
207,uganda,2
208,alternative,3
209,realities,1
210,batwa,1
211,bwindi,1
212,impenetrable,1
213,national,5
214,park,7
215,approach,21
216,farming,1
217,context,4
218,feminization,1
219,middle,5
220,strategy,4
221,clusters,2
222,understanding,14
223,past,4
224,plan,1
225,future,11
226,ilha,1
227,grande,1
228,bay,4
229,brazil,5
230,world,6
231,librarians,1
232,providing,1
233,library,1
234,search,2
235,offline,1
236,schools,4
237,libraries,1
238,improving,5
239,living,9
240,conditions,10
241,displacees,1
242,benefit,1
243,sharing,4
244,scheme,4
245,displacement,2
246,resettlement,2
247,didr,1
248,jakarta,2
249,participation,11
250,voluntary,3
251,cocoa,2
252,certification,2
253,impact,26
254,mapping,14
255,conceptual,3
256,framework,10
257,empowerment,1
258,incentive,1
259,structures,2
260,constitution,1
261,enterprises,1
262,citizen,3
263,dilemmas,2
264,kumasi,1
265,female,5
266,matters,3
267,workfare,1
268,dissemination,2
269,perception,3
270,adaptation,12
271,insights,8
272,coastal,7
273,area,15
274,insertion,1
275,mexico,3
276,global,37
277,value,9
278,chain,1
279,berries,1
280,information,5
281,salvage,1
282,livelihoods,1
283,arid,2
284,semiarid,1
285,lands,2
286,evaluation,11
287,access,6
288,use,23
289,namibia,1
290,willingness,3
291,pay,3
292,improved,1
293,irrigation,2
294,supply,8
295,resilience,6
296,capacities,1
297,shocks,5
298,weather,10
299,perennial,1
300,crops,1
301,demand,6
302,social,31
303,sustainability,11
304,argan,1
305,boom,1
306,green,18
307,morocco,1
308,present,2
309,issues,2
310,efforts,1
311,integrate,1
312,goals,3
313,senior,1
314,high,8
315,japan,6
316,planning,8
317,design,7
318,solutions,3
319,healthy,4
320,livable,1
321,areas,16
322,tree,13
323,crown,1
324,geometry,3
325,performances,3
326,human,7
327,thermal,7
328,comfort,5
329,adjustment,1
330,spatial,40
331,suitability,2
332,assessment,18
333,site,5
334,level,13
335,hill,1
336,characterizing,4
337,landscape,9
338,patterns,17
339,interfaces,1
340,drive,7
341,policies,9
342,form,2
343,behavior,1
344,kuala,1
345,lumpur,1
346,malaysia,4
347,performance,6
348,ventilation,2
349,corridors,1
350,based,13
351,least,1
352,cost,4
353,path,2
354,assessing,11
355,municipal,1
356,service,7
357,quality,12
358,residential,5
359,neighborhoods,4
360,servqual,1
361,ahp,1
362,score,1
363,card,2
364,dhaka,3
365,north,7
366,city,48
367,corporation,1
368,twitter,1
369,revisiting,3
370,built,10
371,potential,10
372,changes,23
373,paradigm,4
374,shifts,3
375,due,5
376,time,5
377,series,1
378,cover,7
379,related,8
380,heat,18
381,island,7
382,intensity,3
383,bangkok,1
384,metropolitan,11
385,thailand,4
386,optimisation,1
387,road,3
388,workforce,1
389,using,33
390,differential,1
391,evolution,9
392,transition,3
393,new,31
394,normal,1
395,lens,1
396,science,3
397,agenda,3
398,drivers,8
399,barriers,3
400,indian,7
401,cities,24
402,possible,2
403,outbreak,3
404,real,2
405,estate,1
406,sector,5
407,adopt,1
408,situation,1
409,general,1
410,turkish,1
411,smart,3
412,work,4
413,collaborative,1
414,space,14
415,teach,1
416,us,3
417,reflections,7
418,driving,3
419,formation,7
420,structure,5
421,strategic,3
422,decisions,2
423,pandemics,3
424,turkey,2
425,classification,5
426,strategies,8
427,method,8
428,xuzhou,1
429,example,5
430,evaluating,9
431,environmental,29
432,influences,3
433,active,6
434,public,14
435,transport,9
436,accessibility,6
437,university,5
438,students,1
439,analyses,3
440,modeling,11
441,network,8
442,interactions,8
443,disaggregate,1
444,lulc,1
445,suburb,2
446,delhi,7
447,ncr,1
448,landsat,1
449,datasets,2
450,establishing,1
451,simultaneously,1
452,lesson,1
453,constitutional,1
454,amendment,1
455,act,2
456,dis,1
457,amenities,1
458,housing,9
459,market,3
460,khulna,1
461,distribution,8
462,waste,2
463,collection,1
464,points,2
465,mombasa,1
466,county,1
467,tradition,1
468,layers,1
469,persian,1
470,garden,2
471,microfinance,1
472,livelihood,1
473,borrower,1
474,slum,2
475,dwellers,2
476,residents,2
477,petitions,1
478,text,1
479,mining,30
480,ecology,5
481,penang,2
482,state,10
483,brand,1
484,affordable,1
485,regional,8
486,location,1
487,comprehensive,3
488,configuration,1
489,model,17
490,learn,1
491,china,29
492,plans,2
493,solvability,1
494,complexity,1
495,novel,3
496,condominium,1
497,mode,4
498,taiwan,2
499,effective,2
500,kalaburagi,1
501,karnataka,1
502,vertical,2
503,equity,5
504,integration,2
505,aspatial,1
506,solid,1
507,advanced,2
508,locality,1
509,alm,1
510,mumbai,1
511,frugality,1
512,absorptive,1
513,capacity,2
514,mitigation,4
515,effects,20
516,property,4
517,rights,12
518,victoria,2
519,theatre,1
520,virtual,7
521,reality,3
522,digital,15
523,heritage,12
524,user,3
525,experience,8
526,reconstruction,6
527,historic,3
528,qatar,1
529,exhibitions,1
530,visitors,1
531,multidisciplinary,2
532,museums,1
533,age,5
534,volumetric,1
535,archaeological,10
536,stratigraphic,1
537,cyprus,1
538,technological,1
539,convergence,1
540,transformation,4
541,challenges,7
542,ch,1
543,sectors,1
544,commencing,1
545,era,2
546,photogrammetry,6
547,printing,1
548,applied,4
549,restoration,6
550,architectural,1
551,ornament,1
552,radial,1
553,figures,1
554,leonardo,1
555,renaissance,1
556,paintings,1
557,photogrammetric,2
558,ravine,1
559,sanctuary,1
560,great,4
561,gods,1
562,samothrace,1
563,reproduce,1
564,analyse,1
565,ancient,3
566,moulded,1
567,artefacts,4
568,within,5
569,symbolic,1
570,prehistoric,1
571,hunters,1
572,sites,3
573,complexes,2
574,linear,2
575,incisions,1
576,western,12
577,sicily,2
578,visualization,1
579,subsurface,2
580,objects,1
581,la,2
582,brea,1
583,tar,1
584,pits,1
585,los,2
586,angeles,2
587,ca,2
588,unfolding,1
589,rolled,1
590,tin,1
591,headbands,1
592,early,5
593,bronze,1
594,application,6
595,effectiveness,6
596,monitoring,4
597,surveying,1
598,research,17
599,valley,4
600,kings,1
601,tuva,1
602,russia,3
603,paleolithic,1
604,excavations,1
605,terrestrial,3
606,laser,4
607,scanner,2
608,de,5
609,atapuerca,1
610,railway,4
611,trench,1
612,burgos,1
613,n,1
614,spain,3
615,masons,1
616,marks,1
617,aleppo,2
618,defensive,1
619,tower,1
620,old,4
621,scanning,3
622,identification,3
623,affordances,1
624,haptic,1
625,visualisation,3
626,archive,1
627,archaeology,2
628,palmyra,1
629,syria,3
630,tomb,1
631,ḥairan,1
632,geometric,1
633,accuracy,1
634,semantic,1
635,richness,8
636,bim,1
637,tool,4
638,mensiochronological,1
639,maria,1
640,veterana,1
641,triggiano,1
642,italy,8
643,parametric,1
644,interpretation,1
645,interpretative,1
646,process,4
647,reconstitution,1
648,hercules,1
649,marble,2
650,statue,1
651,nameless,1
652,temple,2
653,tipasa,1
654,conserving,3
655,thangka,2
656,technical,2
657,unto,1
658,preservation,2
659,buddhist,1
660,automation,3
661,antique,1
662,glass,1
663,combining,1
664,photography,1
665,computed,1
666,tomography,1
667,geomaterials,1
668,centre,2
669,naples,1
670,integrated,3
671,cultural,9
672,interactive,1
673,museum,2
674,afrasiyab,1
675,silk,1
676,interaction,2
677,behaviours,2
678,different,10
679,representation,1
680,scales,3
681,defining,1
682,contribution,2
683,machine,3
684,calculating,1
685,tonnage,1
686,dimension,2
687,cargoes,1
688,roman,1
689,period,3
690,software,1
691,distant,1
692,augmented,1
693,bringing,2
694,drones,1
695,describing,1
696,comparing,3
697,analysing,1
698,tools,2
699,methodology,1
700,designed,1
701,similarity,1
702,death,4
703,masks,1
704,portraits,1
705,projection,2
706,vincenzo,1
707,bellini,1
708,field,5
709,documentation,4
710,surface,9
711,survey,4
712,hualfín,1
713,catamarca,1
714,argentina,5
715,automatic,1
716,metrology,1
717,techniques,4
718,scanned,1
719,vessels,1
720,efficient,1
721,labour,4
722,studies,8
723,contexts,2
724,qasr,1
725,jordan,1
726,energy,5
727,optimization,2
728,light,4
729,buildings,1
730,virtually,1
731,restores,1
732,artworks,1
733,journey,3
734,microstructure,1
735,multifocal,1
736,microscope,1
737,retrieved,1
738,shipwrecks,1
739,web,1
740,repository,1
741,models,11
742,integrating,3
743,conventional,2
744,recording,3
745,wooden,2
746,ship,1
747,alexandria,1
748,va,1
749,peristyle,1
750,apollo,1
751,syracuse,1
752,historical,5
753,hypotheses,2
754,revisited,1
755,finite,2
756,element,2
757,determination,1
758,ceramic,1
759,tile,1
760,colour,2
761,medieval,1
762,madrasah,1
763,mosaic,1
764,samarkand,1
765,applicability,1
766,unmanned,1
767,aerial,1
768,vehicle,1
769,uav,1
770,fossilised,1
771,footprints,2
772,narralive,1
773,creating,1
774,experiencing,1
775,storytelling,2
776,stepping,1
777,stones,1
778,tessellated,1
779,century,3
780,byzantine,1
781,synagogue,1
782,floor,1
783,apamea,1
784,orontes,1
785,standard,1
786,setting,1
787,extractive,7
788,industries,3
789,transparency,1
790,initiative,1
791,mine,3
792,selection,1
793,niobium,1
794,canada,4
795,eroding,1
796,enterprise,2
797,oil,3
798,gas,5
799,reflection,2
800,failed,3
801,exploring,13
802,geology,3
803,eastern,10
804,territories,3
805,genealogy,1
806,atacama,2
807,desert,4
808,modern,3
809,waterscapes,1
810,tarapacá,1
811,region,10
812,chile,8
813,guiding,1
814,principles,1
815,processes,4
816,coal,2
817,german,2
818,lusatia,1
819,vulnerabilities,3
820,evolutions,1
821,cycle,3
822,decline,4
823,free,1
824,goldfields,1
825,estimating,5
826,rare,2
827,earth,2
828,baotou,1
829,territorial,6
830,making,8
831,norms,1
832,quellaveco,1
833,dialogue,1
834,roundtable,1
835,changed,1
836,game,2
837,regulation,2
838,peru,3
839,landscapes,5
840,endogenous,1
841,towns,1
842,examples,3
843,europe,5
844,former,2
845,santa,2
846,barbara,1
847,tuscany,2
848,regeneration,6
849,reconciling,1
850,standards,2
851,operational,1
852,needs,1
853,projects,6
854,guinea,3
855,anchorage,1
856,natural,8
857,exploitation,2
858,project,2
859,gold,5
860,french,7
861,guiana,2
862,risk,16
863,scale,10
864,place,11
865,caledonia,2
866,negotiation,1
867,recognition,1
868,trace,3
869,metals,1
870,dispersion,1
871,activity,17
872,alps,2
873,domestication,2
874,content,3
875,requirements,1
876,metal,2
877,mines,1
878,prospective,3
879,petroleum,1
880,producers,1
881,fell,1
882,victim,1
883,presource,1
884,curse,1
885,peoples,3
886,multiple,6
887,frontiers,2
888,better,3
889,populations,2
890,manage,1
891,massive,1
892,aggradation,1
893,rivers,3
894,stemming,1
895,thio,1
896,hundred,1
897,exploration,2
898,tell,1
899,considering,2
900,trajectory,2
901,understand,1
902,sociogeological,1
903,trajectories,3
904,interdisciplinary,2
905,concept,1
906,achieve,2
907,ecosystem,15
908,myth,1
909,gravity,1
910,concentration,3
911,eliminate,1
912,mercury,3
913,artisanal,2
914,robotics,1
915,jobs,1
916,volatility,1
917,international,6
918,commodity,1
919,prices,3
920,times,4
921,unconventional,1
922,uoag,1
923,farmland,1
924,findings,1
925,bakken,1
926,shale,1
927,dakota,1
928,pockets,1
929,matter,4
930,politically,1
931,industry,3
932,taxation,1
933,developments,1
934,beneficial,1
935,disclosure,1
936,nigeria,3
937,finance,2
938,fossil,1
939,divided,2
940,corporate,3
941,accountability,1
942,diplomatic,1
943,liability,1
944,overseas,1
945,activist,2
946,perceptions,4
947,resistance,3
948,movements,3
949,crimes,1
950,activities,5
951,explanations,1
952,low,4
953,enforcement,1
954,illegal,1
955,madre,1
956,dios,1
957,institutional,5
958,investors,1
959,visits,2
960,responsibility,3
961,lockdown,5
962,opportunity,1
963,conducting,1
964,air,11
965,baseline,1
966,port,2
967,harcourt,1
968,subterranean,1
969,slavery,1
970,supports,2
971,transitions,2
972,power,6
973,patriarchy,1
974,congolese,1
975,cobalt,1
976,southeastern,3
977,managerial,1
978,perspectives,8
979,advancing,2
980,considerations,1
981,mineral,3
982,across,20
983,asean,1
984,appraising,1
985,affected,2
986,implementing,1
987,programs,2
988,listed,1
989,statement,1
990,nickel,1
991,smelter,1
992,need,1
993,consistent,2
994,packages,1
995,support,5
996,capabilities,1
997,ebola,2
998,pestilence,1
999,governmental,1
1000,corruption,1
1001,exacerbate,1
1002,largest,2
1003,history,1
1004,measuring,3
1005,sdgs,1
1006,host,1
1007,south,17
1008,supporting,1
1009,indigenous,7
1010,employee,1
1011,retention,1
1012,australian,4
1013,pilbara,1
1014,population,3
1015,mount,1
1016,isa,1
1017,lead,3
1018,exposure,13
1019,conceptualizing,1
1020,sand,1
1021,extractivism,2
1022,deconstructing,1
1023,emerging,3
1024,resource,4
1025,frontier,2
1026,clustering,2
1027,bivariate,2
1028,dependencies,1
1029,compound,9
1030,precipitation,11
1031,wind,3
1032,extremes,6
1033,britain,1
1034,ireland,1
1035,hot,7
1036,season,2
1037,variability,10
1038,hazards,4
1039,mortalities,1
1040,events,11
1041,robust,1
1042,marine,5
1043,heatwaves,2
1044,transient,1
1045,stabilization,1
1046,warming,9
1047,superimposing,1
1048,animated,1
1049,flood,3
1050,surfaces,1
1051,photographs,1
1052,communication,2
1053,increasing,3
1054,warm,1
1055,spells,1
1056,droughts,3
1057,mediterranean,8
1058,basin,15
1059,outdoor,3
1060,stress,8
1061,cognition,1
1062,counterfactual,1
1063,multivariate,2
1064,quantile,2
1065,ensemble,2
1066,forecasts,2
1067,recent,3
1068,nationwide,2
1069,assessments,4
1070,east,8
1071,asia,7
1072,influential,1
1073,northwest,3
1074,pacific,8
1075,european,11
1076,coast,1
1077,atmospheric,6
1078,characterize,1
1079,strength,2
1080,trends,6
1081,indices,3
1082,assessed,1
1083,xingu,1
1084,river,15
1085,brazilian,4
1086,amazon,3
1087,combined,2
1088,meteorological,2
1089,index,6
1090,comparison,6
1091,simulating,1
1092,seasonal,3
1093,anomalous,1
1094,moisture,3
1095,sources,4
1096,rhine,2
1097,extremely,1
1098,dry,5
1099,summers,2
1100,modulating,1
1101,synergy,1
1102,dead,1
1103,fine,2
1104,fuel,2
1105,bushfire,1
1106,fuels,1
1107,southeast,2
1108,hourly,2
1109,australia,5
1110,observational,2
1111,record,2
1112,constrain,1
1113,agency,3
1114,health,24
1115,qualitative,4
1116,small,4
1117,developing,6
1118,temperature,15
1119,rainfall,5
1120,current,2
1121,levels,2
1122,zones,2
1123,view,1
1124,iberian,2
1125,peninsula,2
1126,database,2
1127,characteristics,7
1128,variations,4
1129,investigating,2
1130,merits,1
1131,gauge,2
1132,satellite,3
1133,summer,3
1134,populated,1
1135,probability,2
1136,associated,7
1137,peak,1
1138,month,3
1139,heatwave,4
1140,measure,2
1141,higher,1
1142,predictive,1
1143,prevent,2
1144,risks,2
1145,ehf,1
1146,gato,1
1147,iv,1
1148,modelling,7
1149,lisbon,1
1150,mortality,5
1151,coping,2
1152,district,1
1153,multan,1
1154,punjab,1
1155,reported,2
1156,northeast,1
1157,nonlinear,1
1158,ozone,1
1159,united,7
1160,states,7
1161,characterization,5
1162,long,2
1163,return,2
1164,values,5
1165,daily,6
1166,part,5
1167,projections,2
1168,increase,4
1169,occurrence,3
1170,reproductive,2
1171,growth,5
1172,russian,1
1173,wheat,1
1174,beyond,3
1175,c,1
1176,godavari,1
1177,could,1
1178,crop,4
1179,albedo,1
1180,modification,1
1181,reduce,2
1182,severity,2
1183,duration,1
1184,frequency,4
1185,populous,1
1186,joint,1
1187,updated,1
1188,results,2
1189,simulations,1
1190,less,2
1191,climatic,2
1192,arctic,4
1193,shift,1
1194,episodic,1
1195,typhoons,1
1196,parma,1
1197,melor,1
1198,ocean,5
1199,downscaling,1
1200,reference,1
1201,growing,3
1202,germany,3
1203,circulation,2
1204,picea,1
1205,mariana,1
1206,trees,9
1207,boreal,2
1208,plains,2
1209,interior,1
1210,never,1
1211,rains,1
1212,california,4
1213,constructions,1
1214,phenomenon,1
1215,internal,2
1216,nagavali,1
1217,vamsadhara,1
1218,basins,1
1219,mean,2
1220,predict,1
1221,sugar,1
1222,yield,2
1223,fiji,2
1224,san,2
1225,francisco,2
1226,fluxes,3
1227,zone,4
1228,distinct,1
1229,macroclimate,1
1230,regions,6
1231,spatiotemporal,3
1232,forecast,1
1233,climatology,1
1234,geomorphometry,1
1235,hong,4
1236,kong,4
1237,investigation,3
1238,climates,1
1239,andhi,1
1240,severe,1
1241,megacity,1
1242,elements,3
1243,baltic,1
1244,sea,12
1245,poland,2
1246,microclimate,1
1247,famous,1
1248,dwellings,1
1249,hakka,1
1250,tulou,1
1251,hezhou,1
1252,singapore,4
1253,confinement,2
1254,neighborhood,10
1255,aerosol,2
1256,aeronet,1
1257,introduction,1
1258,special,2
1259,issue,2
1260,scenario,1
1261,pollution,4
1262,major,2
1263,agglomerations,1
1264,composition,5
1265,ahmedabad,1
1266,big,2
1267,size,2
1268,aerosols,1
1269,kitchen,1
1270,environments,6
1271,measurement,1
1272,bern,1
1273,switzerland,1
1274,urbanization,6
1275,paths,1
1276,emissions,4
1277,asian,4
1278,economies,2
1279,impervious,1
1280,vegetation,5
1281,greenhouse,1
1282,analyzing,2
1283,distancing,2
1284,resumption,1
1285,são,2
1286,paulo,2
1287,municipality,1
1288,trips,2
1289,metro,2
1290,rail,1
1291,users,6
1292,two,6
1293,stations,1
1294,morphology,2
1295,secondary,3
1296,organic,5
1297,untreated,1
1298,exhaust,1
1299,gasoline,1
1300,motorcycles,1
1301,catchment,2
1302,scenarios,3
1303,hyderabad,1
1304,predicting,3
1305,calibrated,1
1306,utci,1
1307,belo,1
1308,horizonte,1
1309,source,2
1310,apportionment,1
1311,elemental,1
1312,species,8
1313,especial,1
1314,emphasis,1
1315,variation,7
1316,facilitating,1
1317,rapidly,2
1318,urbanizing,1
1319,typical,1
1320,polluted,1
1321,representative,1
1322,passenger,2
1323,vehicles,1
1324,estimate,1
1325,consumption,3
1326,emission,1
1327,rates,5
1328,formulate,1
1329,feasibility,2
1330,adaptive,1
1331,savings,1
1332,cooling,3
1333,heating,2
1334,large,4
1335,american,5
1336,santiago,3
1337,temporal,6
1338,convolutional,1
1339,artificial,2
1340,neural,1
1341,forecasting,2
1342,missing,1
1343,deep,1
1344,indoor,1
1345,concurrent,1
1346,wave,3
1347,blackout,1
1348,event,5
1349,phoenix,3
1350,arizona,3
1351,asymmetric,1
1352,nexus,2
1353,kolkata,1
1354,estimates,2
1355,meteorology,1
1356,microclimatic,1
1357,spaces,17
1358,propagation,2
1359,containment,1
1360,cairo,1
1361,utilizing,1
1362,portal,1
1363,wudapt,1
1364,facilitate,2
1365,estimation,3
1366,sensation,1
1367,load,2
1368,body,1
1369,irradiated,1
1370,occupational,1
1371,strain,1
1372,workers,5
1373,summertime,1
1374,tropical,5
1375,lcz,1
1376,topics,1
1377,learnt,1
1378,mesoscale,1
1379,applications,1
1380,cycling,8
1381,cyclist,2
1382,hotspots,1
1383,seoul,4
1384,random,3
1385,regression,4
1386,indicators,1
1387,disease,9
1388,yangtze,5
1389,delta,2
1390,beliefs,1
1391,reduced,3
1392,daytime,1
1393,urbans,1
1394,rituals,1
1395,memory,4
1396,belonging,1
1397,geneva,1
1398,creative,8
1399,hubs,1
1400,underlying,1
1401,relationships,3
1402,cohesion,2
1403,literature,2
1404,preferring,1
1405,needing,1
1406,evolutionary,1
1407,psychology,1
1408,utility,2
1409,satisfaction,3
1410,rise,6
1411,fall,1
1412,class,3
1413,alaçatı,1
1414,society,2
1415,blm,1
1416,sale,1
1417,art,4
1418,interventionism,1
1419,cape,1
1420,town,3
1421,precarious,1
1422,publics,1
1423,agglomeration,2
1424,pattern,2
1425,poznań,1
1426,resonating,1
1427,debate,2
1428,cooperative,1
1429,approaches,2
1430,improvement,1
1431,xizhou,1
1432,squatter,1
1433,settlements,2
1434,taipei,3
1435,inclusive,2
1436,ready,1
1437,george,1
1438,reframing,2
1439,artistic,2
1440,independent,1
1441,films,1
1442,scenes,1
1443,paris,1
1444,strengthening,1
1445,participatory,5
1446,skills,1
1447,transmission,4
1448,remembrance,1
1449,athens,1
1450,polytechnic,1
1451,uprising,1
1452,justification,1
1453,music,2
1454,handbooks,1
1455,intermediaries,2
1456,disputes,1
1457,assemblage,2
1458,engagement,2
1459,london,3
1460,chrisp,1
1461,street,5
1462,perceived,5
1463,married,2
1464,tamil,1
1465,nadu,1
1466,capitalizing,1
1467,flagship,1
1468,initiatives,1
1469,transforming,3
1470,police,1
1471,quarters,1
1472,pmq,1
1473,wayfarer,1
1474,visions,1
1475,songs,1
1476,bruce,1
1477,springsteen,1
1478,meets,1
1479,monsters,1
1480,activism,2
1481,organizing,1
1482,artists,1
1483,commitment,2
1484,covid,1
1485,cultures,2
1486,societies,2
1487,laden,1
1488,expectations,1
1489,arts,1
1490,glocalisation,1
1491,appropriation,1
1492,turn,1
1493,discourse,3
1494,buenos,1
1495,aires,1
1496,classes,1
1497,dashboards,1
1498,ethics,2
1499,normativity,1
1500,passing,1
1501,torch,1
1502,politics,15
1503,olympic,1
1504,bids,1
1505,oslo,2
1506,stockholm,1
1507,networks,5
1508,bibliometric,1
1509,phases,1
1510,crystallisation,1
1511,subcultures,1
1512,chic,1
1513,worlding,5
1514,timisoara,1
1515,romania,1
1516,little,2
1517,vienna,1
1518,icon,1
1519,ecoc,1
1520,struggle,1
1521,wall,1
1522,dressed,1
1523,graffiti,1
1524,punk,1
1525,disaster,1
1526,informality,1
1527,clubbing,1
1528,afternoon,1
1529,chennai,1
1530,gendering,2
1531,hybrid,4
1532,gathering,1
1533,maker,1
1534,makerspaces,1
1535,practice,3
1536,determinants,6
1537,shanghai,2
1538,collective,6
1539,reproducing,1
1540,memories,4
1541,baharestan,1
1542,square,1
1543,tehran,1
1544,iran,2
1545,cutting,1
1546,clutter,1
1547,definitions,1
1548,informativeness,1
1549,car,2
1550,relation,3
1551,fluctuations,1
1552,prevalence,5
1553,cvd,1
1554,tribal,1
1555,nontribal,1
1556,jharkhand,1
1557,cannabis,1
1558,young,2
1559,adults,7
1560,colonoscopy,1
1561,carolina,1
1562,caribbean,3
1563,statistical,2
1564,pennsylvania,1
1565,socioeconomic,4
1566,indexes,1
1567,hiv,3
1568,incidence,4
1569,geospatial,3
1570,inference,1
1571,latent,2
1572,individual,4
1573,infectious,2
1574,influenza,1
1575,double,1
1576,jeopardy,1
1577,happens,1
1578,epidemic,2
1579,followed,1
1580,earthquake,1
1581,bayesian,3
1582,accounting,2
1583,misclassification,1
1584,bias,1
1585,surveillance,3
1586,philadelphia,1
1587,pa,1
1588,malaria,1
1589,anemia,1
1590,childbearing,1
1591,clinical,1
1592,epidemiological,1
1593,aspects,1
1594,leishmaniasis,1
1595,barreiras,1
1596,bahia,1
1597,response,12
1598,naudet,1
1599,et,1
1600,al,1
1601,lithium,2
1602,drinking,2
1603,altitude,1
1604,suicide,2
1605,argentinean,1
1606,andes,1
1607,warning,1
1608,copd,1
1609,emergency,3
1610,admissions,1
1611,susceptibility,2
1612,footprint,1
1613,rate,3
1614,fars,1
1615,province,2
1616,linking,5
1617,discriminatory,1
1618,contemporary,2
1619,baltimore,1
1620,airport,1
1621,anticipate,1
1622,spread,3
1623,diseases,1
1624,travel,9
1625,symptoms,1
1626,online,1
1627,used,1
1628,optimise,1
1629,predictions,2
1630,belgium,3
1631,brain,1
1632,nervous,1
1633,cancer,4
1634,identified,1
1635,counties,2
1636,insufficient,1
1637,heavy,1
1638,preschoolers,1
1639,playground,1
1640,stroke,1
1641,centers,1
1642,traffic,2
1643,congestion,2
1644,dengue,3
1645,lstm,1
1646,versus,4
1647,fever,2
1648,puerto,1
1649,rico,1
1650,letter,1
1651,editor,1
1652,negatively,2
1653,correlates,3
1654,sunlight,2
1655,baylisascaris,1
1656,procyonis,1
1657,zoonotic,1
1658,parasite,1
1659,raccoons,1
1660,ontario,1
1661,hierarchical,2
1662,passive,1
1663,men,4
1664,sex,3
1665,york,5
1666,unknown,1
1667,denominator,1
1668,problem,3
1669,core,1
1670,migrating,1
1671,persons,1
1672,border,5
1673,histories,2
1674,lung,1
1675,mountaintop,1
1676,removal,3
1677,appalachia,1
1678,geostatistical,1
1679,maps,3
1680,lymphatic,1
1681,filariasis,1
1682,scan,1
1683,statistic,1
1684,contextual,3
1685,mental,4
1686,department,1
1687,children,7
1688,adolescents,4
1689,geographically,1
1690,weighted,1
1691,colombia,4
1692,positive,1
1693,transformations,2
1694,enable,3
1695,fishing,1
1696,urgency,1
1697,decision,4
1698,laboratory,2
1699,plural,2
1700,himalayas,1
1701,connecting,1
1702,dots,1
1703,migration,7
1704,algorithmic,1
1705,changing,6
1706,scalar,1
1707,biases,1
1708,photovoltaics,1
1709,diversity,17
1710,observations,1
1711,inform,2
1712,shapes,1
1713,outcomes,4
1714,carbon,8
1715,entry,1
1716,melting,1
1717,himalayan,3
1718,glaciers,1
1719,planetary,2
