,vocabs,frequency
190,capital empirical,1
191,empirical evidence,4
192,evidence implications,1
193,implications food,1
194,food insecurity,1
195,insecurity longitudinal,1
196,longitudinal study,2
197,study agriculture,1
198,agriculture households,1
199,households indonesia,1
200,indonesia effect,1
201,effect land,1
202,land labor,1
203,labor mobility,1
204,mobility welfare,1
205,welfare poverty,1
206,poverty dynamics,1
207,dynamics wider,1
208,wider nets,1
209,nets credit,1
210,credit mixed,1
211,mixed methods,1
212,methods analysis,1
213,analysis informal,1
214,informal lending,1
215,lending caste,1
216,caste relations,1
217,relations bihar,1
218,bihar addressing,1
219,addressing gendered,1
220,gendered varietal,1
221,varietal trait,1
222,trait preferences,1
223,preferences west,1
224,west african,1
225,african maize,1
226,maize microcredit,1
227,microcredit intervention,1
228,intervention change,1
229,change life,1
230,life households,1
231,households rural,1
232,rural vietnam,1
233,vietnam evidence,1
234,evidence panel,2
235,panel data,2
236,data flyer,1
237,flyer dilemma,1
238,dilemma logger,1
239,logger case,1
240,case climate,1
241,climate justice,2
242,justice extent,1
243,extent farm,1
244,farm households,1
245,households diversify,1
246,diversify implications,1
247,implications multidimensional,1
248,poverty ghana,1
249,ghana marginalized,1
250,marginalized people,1
251,people uganda,1
252,uganda alternative,1
253,alternative realities,1
254,realities batwa,1
255,batwa bwindi,1
256,bwindi impenetrable,1
257,impenetrable national,1
258,national park,1
259,park women,1
260,women approach,1
261,approach farming,1
262,farming context,1
263,context feminization,1
264,feminization agriculture,1
265,agriculture case,1
266,case study,35
267,study middle,1
268,middle hills,2
269,hills nepal,2
270,nepal strategy,1
271,strategy development,1
272,development clusters,1
273,clusters understanding,1
274,understanding past,1
275,past plan,1
276,plan future,1
277,future fisheries,1
278,fisheries ilha,1
279,ilha grande,1
280,grande bay,1
281,bay brazil,1
282,brazil world,1
283,world librarians,1
284,librarians system,1
285,system providing,1
286,providing library,1
287,library search,1
288,search services,1
289,services offline,1
290,offline schools,1
291,schools libraries,1
292,libraries malawi,1
293,malawi improving,1
294,improving living,1
295,living conditions,1
296,conditions displacees,1
297,displacees review,1
298,review evidence,1
299,evidence benefit,1
300,benefit sharing,1
301,sharing scheme,2
302,scheme development,1
303,development induced,1
304,induced displacement,1
305,displacement resettlement,1
306,resettlement didr,1
307,didr urban,1
308,urban jakarta,1
309,jakarta indonesia,1
310,indonesia participation,1
311,participation voluntary,1
312,voluntary cocoa,1
313,cocoa certification,1
314,certification scheme,1
315,scheme impact,1
316,impact smallholder,1
317,smallholder welfare,1
318,welfare evidence,2
319,evidence ghana,1
320,ghana vulnerability,1
321,vulnerability mapping,1
322,mapping conceptual,1
323,conceptual framework,3
324,framework towards,1
325,towards approach,1
326,approach women,1
327,women empowerment,1
328,empowerment local,1
329,local incentive,1
330,incentive structures,1
331,structures constitution,1
332,constitution enterprises,1
333,enterprises forest,1
334,forest citizen,1
335,citizen participation,1
336,participation dilemmas,1
337,dilemmas water,1
338,water governance,1
339,governance empirical,1
340,empirical case,1
341,case kumasi,1
342,kumasi ghana,1
343,ghana female,1
344,female matters,1
345,matters impact,1
346,impact workfare,1
347,workfare program,1
348,program female,1
349,female rural,1
350,rural india,1
351,india dissemination,1
352,dissemination perception,1
353,perception adaptation,1
354,adaptation insights,2
355,insights coastal,1
356,coastal area,1
357,area bangladesh,2
358,bangladesh insertion,1
359,insertion mexico,1
360,mexico global,1
361,global value,1
362,value chain,1
363,chain berries,1
364,berries climate,1
365,climate information,1
366,information salvage,1
367,salvage livelihoods,1
368,livelihoods arid,1
369,arid semiarid,1
370,semiarid lands,1
371,lands evaluation,1
372,evaluation access,1
373,access use,2
374,use impact,1
375,impact namibia,1
376,namibia climate,1
377,climate farmers,1
378,farmers willingness,1
379,willingness pay,3
380,pay improved,1
381,improved irrigation,1
382,irrigation water,1
383,water supply,1
384,supply resilience,1
385,resilience capacities,1
386,capacities household,1
387,household nutrition,1
388,nutrition presence,1
389,presence shocks,1
390,shocks evidence,1
391,malawi weather,1
392,weather insurance,1
393,insurance perennial,1
394,perennial crops,1
395,crops case,1
396,study insurance,1
397,insurance supply,1
398,supply demand,3
399,demand cocoa,1
400,cocoa farmers,1
401,farmers ghana,1
402,ghana social,1
403,social sustainability,1
404,sustainability argan,1
405,argan boom,1
406,boom green,1
407,green development,1
408,development morocco,1
409,morocco present,1
410,present issues,1
411,issues efforts,1
412,efforts integrate,1
413,integrate sustainable,1
414,development goals,2
415,goals local,1
416,local senior,1
417,senior high,1
418,high school,1
419,school japan,1
420,japan case,1
421,study sustainable,1
422,sustainable planning,1
423,planning design,1
424,design urban,1
425,urban climate,3
426,climate solutions,1
427,solutions healthy,1
428,healthy livable,1
429,livable urban,1
430,urban rural,2
431,rural areas,3
432,areas tree,1
433,tree crown,1
434,crown geometry,1
435,geometry performances,1
436,performances human,1
437,human thermal,1
438,thermal comfort,4
439,comfort adjustment,1
440,adjustment spatial,1
441,spatial suitability,1
442,suitability assessment,1
443,assessment planning,1
444,planning infrastructure,1
445,infrastructure facilities,1
446,facilities site,1
447,site level,1
448,level hill,1
449,hill areas,1
450,areas characterizing,1
451,characterizing landscape,1
452,landscape patterns,1
453,patterns interfaces,1
454,interfaces drive,1
455,drive impacts,1
456,impacts planning,1
457,planning policies,1
458,policies urban,1
459,urban form,1
460,form mobility,1
461,mobility behavior,1
462,behavior kuala,1
463,kuala lumpur,1
464,lumpur malaysia,1
465,malaysia performance,1
466,performance evaluation,1
467,evaluation urban,1
468,urban ventilation,1
469,ventilation corridors,1
470,corridors based,1
471,based least,1
472,least cost,1
473,cost path,1
474,path assessing,1
475,assessing municipal,1
476,municipal service,1
477,service quality,1
478,quality residential,1
479,residential neighborhoods,1
480,neighborhoods based,1
481,based servqual,1
482,servqual ahp,1
483,ahp citizen,1
484,citizen score,1
485,score card,1
486,card case,1
487,study dhaka,1
488,dhaka north,1
489,north city,1
490,city corporation,1
491,corporation area,1
492,bangladesh impact,1
493,impact pandemic,2
494,pandemic services,1
495,services based,1
496,based twitter,1
497,twitter data,1
498,data analysis,2
499,analysis revisiting,1
500,revisiting built,1
501,built environment,8
502,environment potential,1
503,potential development,1
504,development changes,1
505,changes paradigm,1
506,paradigm shifts,2
507,shifts due,1
508,due time,1
509,time series,1
510,series analysis,1
511,analysis land,1
512,land use,7
513,use land,2
514,land cover,4
515,cover changes,2
516,changes related,1
517,related urban,2
518,urban heat,6
519,heat island,5
520,island intensity,2
521,intensity case,1
522,case bangkok,1
523,bangkok metropolitan,1
524,metropolitan area,5
525,area thailand,1
526,thailand optimisation,1
527,optimisation approach,1
528,approach road,1
529,road sanitation,1
530,sanitation workforce,1
531,workforce planning,1
532,planning using,2
533,using differential,1
534,differential evolution,1
535,evolution transition,1
536,transition new,1
537,new normal,1
538,normal lens,1
539,lens urban,1
540,urban spatial,2
541,spatial data,1
542,data science,1
543,science agenda,1
544,agenda drivers,1
545,drivers barriers,1
546,barriers adoption,1
547,adoption indian,1
548,indian cities,1
549,cities evidence,1
550,evidence urban,1
551,spatial possible,1
552,possible impacts,1
553,impacts outbreak,1
554,outbreak real,1
555,real estate,1
556,estate sector,1
557,sector possible,1
558,possible changes,1
559,changes adopt,1
560,adopt situation,1
561,situation analysis,1
562,analysis general,1
563,general assessment,1
564,assessment turkish,1
565,turkish perspective,1
566,perspective impact,2
567,impact urban,4
568,urban mobility,1
569,mobility smart,1
570,smart work,1
571,work collaborative,1
572,collaborative space,1
573,space perspective,1
574,perspective global,1
575,global pandemic,3
576,pandemic teach,1
577,teach us,1
578,us reflections,1
579,reflections driving,1
580,driving factors,1
581,factors formation,1
582,formation development,1
583,development change,1
584,change spatial,1
585,spatial structure,1
586,structure metropolitan,1
587,metropolitan areas,1
588,areas systematic,1
589,review strategic,1
590,strategic decisions,1
591,decisions urban,2
592,urban built,1
593,environment pandemics,1
594,pandemics turkey,1
595,turkey lessons,1
596,lessons classification,1
597,classification strategies,1
598,strategies method,1
599,method xuzhou,1
600,xuzhou city,1
601,city example,1
602,example approach,1
603,approach evaluating,1
604,evaluating environmental,1
605,environmental influences,1
606,influences active,1
607,active public,1
608,public transport,2
609,transport accessibility,1
610,accessibility university,1
611,university students,1
612,students analyses,1
613,analyses modeling,1
614,modeling urban,1
615,urban land,1
616,use road,1
617,road network,1
618,network interactions,1
619,interactions using,1
620,using disaggregate,1
621,disaggregate accessibility,1
622,accessibility land,1
623,use analyses,1
624,analyses land,1
625,cover lulc,1
626,lulc change,1
627,change expansion,1
628,expansion suburb,1
629,suburb metropolitan,1
630,metropolitan city,1
631,city analysis,1
632,analysis delhi,1
633,delhi ncr,1
634,ncr using,1
635,using landsat,1
636,landsat datasets,1
637,datasets establishing,1
638,establishing metropolitan,1
639,metropolitan governance,1
640,governance local,1
641,local governance,1
642,governance simultaneously,1
643,simultaneously lesson,1
644,lesson india,1
645,india constitutional,1
646,constitutional amendment,1
647,amendment act,1
648,act urban,1
649,urban resilience,1
650,resilience urban,1
651,urban management,2
652,management perspective,1
653,perspective value,1
654,value environmental,1
655,environmental dis,1
656,dis amenities,1
657,amenities urban,1
658,urban housing,1
659,housing market,1
660,market evidence,1
661,evidence khulna,1
662,khulna bangladesh,1
663,bangladesh urban,1
664,management mapping,1
665,mapping landscape,1
666,landscape spatial,1
667,spatial distribution,2
668,distribution waste,1
669,waste collection,1
670,collection points,1
671,points implications,1
672,implications quality,1
673,quality life,2
674,life mombasa,1
675,mombasa county,1
676,county kenya,1
677,kenya learning,1
678,learning tradition,1
679,tradition role,1
680,role environment,1
681,environment perception,1
682,perception layers,1
683,layers space,1
684,space case,1
685,case persian,1
686,persian garden,1
687,garden impact,1
688,urban microfinance,1
689,microfinance livelihood,1
690,livelihood strategies,1
691,strategies borrower,1
692,borrower slum,1
693,slum dwellers,1
694,dwellers dhaka,1
695,dhaka city,1
696,city bangladesh,1
697,bangladesh residents,1
698,residents petitions,1
699,petitions based,1
700,based text,1
701,text mining,1
702,mining ecology,1
703,ecology new,1
704,new urban,1
705,urban program,1
706,program case,1
707,study penang,1
708,penang state,1
709,state brand,1
710,brand affordable,1
711,affordable housing,1
712,housing program,1
713,program regional,1
714,regional urban,1
715,urban environmental,1
716,environmental quality,1
717,quality assessment,1
718,assessment spatial,2
719,spatial analysis,6
720,analysis location,1
721,location public,1
722,public service,1
723,service facilities,1
724,facilities urban,1
725,urban comprehensive,1
726,comprehensive park,1
727,park using,1
728,using configuration,1
729,configuration model,1
730,model cities,1
731,cities learn,1
732,learn evidence,1
733,evidence china,2
734,china plans,1
735,plans solvability,1
736,solvability urban,1
737,urban complexity,1
738,complexity novel,1
739,novel condominium,1
740,condominium management,1
741,management mode,1
742,mode taiwan,1
743,taiwan effective,1
744,effective management,1
745,management case,1
746,study kalaburagi,1
747,kalaburagi city,1
748,city karnataka,1
749,karnataka india,1
750,india towards,1
751,towards vertical,1
752,vertical spatial,1
753,spatial equity,1
754,equity urban,1
755,urban facilities,1
756,facilities integration,1
757,integration spatial,1
758,spatial aspatial,1
759,aspatial accessibility,1
760,accessibility participation,1
761,participation solid,1
762,solid waste,1
763,waste management,1
764,management lessons,1
765,lessons advanced,1
766,advanced locality,1
767,locality management,1
768,management alm,1
769,alm programme,1
770,programme mumbai,1
771,mumbai frugality,1
772,frugality interactions,1
773,interactions absorptive,1
774,absorptive capacity,1
775,capacity transport,1
776,transport urban,1
777,intensity mitigation,1
778,mitigation strategies,2
779,strategies urban,1
780,urban area,1
781,area effects,1
782,effects land,1
783,use plans,1
784,plans urban,1
785,urban development,1
786,development property,1
787,property rights,3
788,rights approach,1
789,approach victoria,1
790,victoria theatre,1
791,theatre virtual,1
792,virtual reality,1
793,reality digital,1
794,digital heritage,1
795,heritage case,1
796,study user,1
797,user experience,2
798,experience design,1
799,design virtual,1
800,virtual reconstruction,1
801,reconstruction historic,1
802,historic city,2
803,city qatar,1
804,qatar strategic,1
805,strategic planning,1
806,planning virtual,1
807,virtual exhibitions,1
808,exhibitions visitors,1
809,visitors experience,1
810,experience multidisciplinary,1
811,multidisciplinary approach,2
812,approach museums,1
813,museums digital,1
814,digital age,1
815,age potential,1
816,potential problems,1
817,problems volumetric,1
818,volumetric modeling,1
819,modeling archaeological,1
820,archaeological stratigraphic,1
821,stratigraphic analysis,1
822,analysis case,2
823,study cyprus,1
824,cyprus paradigm,1
825,paradigm technological,1
826,technological convergence,1
827,convergence digital,1
828,digital transformation,1
829,transformation challenges,1
830,challenges ch,1
831,ch sectors,1
832,sectors global,1
833,pandemic commencing,1
834,commencing structure,1
835,structure era,1
836,era digital,1
837,digital modeling,1
838,modeling using,1
839,using photogrammetry,1
840,photogrammetry printing,1
841,printing applied,1
842,applied restoration,1
843,restoration architectural,1
844,architectural ornament,1
845,ornament radial,1
846,radial distribution,1
847,distribution figures,1
848,figures leonardo,1
849,leonardo renaissance,1
850,renaissance paintings,1
851,paintings photogrammetric,1
852,photogrammetric modeling,1
853,modeling central,1
854,central ravine,1
855,ravine sanctuary,1
856,sanctuary great,1
857,great gods,1
858,gods samothrace,1
859,samothrace method,1
860,method reproduce,1
861,reproduce analyse,1
862,analyse ancient,1
863,ancient moulded,1
864,moulded artefacts,1
865,artefacts within,1
866,within symbolic,1
867,symbolic world,1
868,world prehistoric,1
869,prehistoric hunters,1
870,hunters model,1
871,model analysis,1
872,analysis sites,1
873,sites complexes,1
874,complexes linear,1
875,linear incisions,1
876,incisions western,1
877,western sicily,2
878,sicily visualization,1
879,visualization subsurface,1
880,subsurface objects,1
881,objects la,1
882,la brea,1
883,brea tar,1
884,tar pits,1
885,pits los,1
886,los angeles,2
887,angeles ca,1
888,ca photogrammetric,1
889,photogrammetric unfolding,1
890,unfolding rolled,1
891,rolled tin,1
892,tin headbands,1
893,headbands early,1
894,early bronze,1
895,bronze age,1
896,age photogrammetry,1
897,photogrammetry assessing,1
898,assessing application,1
899,application potential,1
900,potential effectiveness,1
901,effectiveness archaeological,1
902,archaeological monitoring,1
903,monitoring surveying,1
904,surveying research,1
905,research valley,1
906,valley kings,1
907,kings tuva,1
908,tuva russia,1
909,russia monitoring,1
910,monitoring paleolithic,1
911,paleolithic archaeological,1
912,archaeological excavations,1
913,excavations using,1
914,using terrestrial,2
915,terrestrial laser,2
916,laser scanner,2
917,scanner systems,1
918,systems sierra,1
919,sierra de,1
920,de atapuerca,1
921,atapuerca railway,1
922,railway trench,1
923,trench sites,1
924,sites burgos,1
925,burgos n,1
926,n spain,1
927,spain masons,1
928,masons marks,1
929,marks aleppo,1
930,aleppo study,1
931,study defensive,1
932,defensive tower,1
933,tower old,1
934,old aleppo,1
935,aleppo using,1
936,using laser,2
937,laser scanning,2
938,scanning photogrammetry,1
939,photogrammetry identification,1
940,identification classification,1
941,classification affordances,1
942,affordances digital,1
943,digital haptic,1
944,haptic visualisation,1
945,visualisation heritage,1
946,heritage accessibility,1
947,accessibility archive,1
948,archive archaeology,1
949,archaeology palmyra,1
950,palmyra syria,1
951,syria new,1
952,new reconstruction,1
953,reconstruction tomb,1
954,tomb ḥairan,1
955,ḥairan geometric,1
956,geometric accuracy,1
957,accuracy semantic,1
958,semantic richness,1
959,richness heritage,1
960,heritage bim,1
961,bim review,1
962,review digital,1
963,digital photogrammetry,2
964,photogrammetry tool,1
965,tool mensiochronological,1
966,mensiochronological analysis,1
967,case maria,1
968,maria veterana,1
969,veterana archaeological,1
970,archaeological site,1
971,site triggiano,1
972,triggiano italy,1
973,italy parametric,1
974,parametric modeling,1
975,modeling heritage,1
976,heritage interpretation,1
977,interpretation reconstruction,1
978,reconstruction virtual,1
979,virtual archaeology,1
980,archaeology interpretative,1
981,interpretative process,1
982,process case,1
983,study virtual,1
984,virtual reconstitution,1
985,reconstitution hercules,1
986,hercules marble,1
987,marble statue,1
988,statue nameless,1
989,nameless temple,1
990,temple tipasa,1
991,tipasa conserving,1
992,conserving thangka,1
993,thangka technical,1
994,technical approach,1
995,approach unto,1
996,unto preservation,1
997,preservation buddhist,1
998,buddhist thangka,1
999,thangka automation,1
1000,automation scanning,1
1001,scanning antique,1
1002,antique glass,1
1003,glass combining,1
1004,combining photography,1
1005,photography computed,1
1006,computed tomography,1
1007,tomography model,1
1008,model geomaterials,1
1009,geomaterials ancient,1
1010,ancient centre,1
1011,centre naples,1
1012,naples italy,1
1013,italy towards,1
1014,towards integrated,1
1015,integrated approach,1
1016,approach cultural,1
1017,cultural heritage,4
1018,heritage virtual,1
1019,virtual interactive,1
1020,interactive museum,1
1021,museum archaeological,1
1022,archaeological artefacts,3
1023,artefacts afrasiyab,1
1024,afrasiyab ancient,1
1025,ancient city,1
1026,city silk,1
1027,silk road,1
1028,road digital,1
1029,digital interaction,1
1030,interaction archaeological,1
1031,artefacts evaluating,1
1032,evaluating user,1
1033,user behaviours,1
1034,behaviours different,1
1035,different representation,1
1036,representation scales,1
1037,scales defining,1
1038,defining study,1
1039,study contribution,1
1040,contribution machine,1
1041,machine automation,1
1042,automation archaeological,1
1043,archaeological research,1
1044,research calculating,1
1045,calculating tonnage,1
1046,tonnage dimension,1
1047,dimension cargoes,1
1048,cargoes marble,1
1049,marble roman,1
1050,roman period,1
1051,period comparative,1
1052,analysis digital,1
1053,photogrammetry software,1
1054,software cultural,1
1055,heritage distant,1
1056,distant augmented,1
1057,augmented reality,1
1058,reality bringing,1
1059,bringing new,1
1060,new dimension,1
1061,dimension user,1
1062,experience using,1
1063,using drones,1
1064,drones describing,1
1065,describing comparing,1
1066,comparing analysing,1
1067,analysing digital,1
1068,digital urban,1
1069,urban heritage,1
1070,heritage tools,1
1071,tools methodology,1
1072,methodology designed,1
1073,designed multidisciplinary,1
1074,approach method,1
1075,method similarity,1
1076,similarity assessment,1
1077,assessment death,1
1078,death masks,1
1079,masks portraits,1
1080,portraits linear,1
1081,linear projection,1
1082,projection case,1
1083,case vincenzo,1
1084,vincenzo bellini,1
1085,bellini field,1
1086,field experience,1
1087,experience documentation,1
1088,documentation analysis,1
1089,analysis mapping,1
1090,mapping surface,1
1091,surface survey,1
1092,survey hualfín,1
1093,hualfín valley,1
1094,valley catamarca,1
1095,catamarca argentina,1
1096,argentina automatic,1
1097,automatic geometry,1
1098,geometry metrology,1
1099,metrology visualisation,1
1100,visualisation techniques,1
1101,techniques scanned,1
1102,scanned vessels,1
1103,vessels efficient,1
1104,efficient field,1
1105,field documentation,1
1106,documentation methods,1
1107,methods labour,1
1108,labour cost,1
1109,cost studies,1
1110,studies case,1
1111,case studies,2
1112,studies archaeological,1
1113,archaeological heritage,1
1114,heritage contexts,1
1115,contexts heritage,1
1116,heritage documentation,1
1117,documentation using,1
1118,scanner photogrammetry,1
1119,photogrammetry case,1
1120,study qasr,1
1121,qasr jordan,1
1122,jordan energy,1
1123,energy optimization,1
1124,optimization light,1
1125,light projection,1
1126,projection system,1
1127,system buildings,1
1128,buildings virtually,1
1129,virtually restores,1
1130,restores artworks,1
1131,artworks journey,1
1132,journey microstructure,1
1133,microstructure using,1
1134,using multifocal,1
1135,multifocal digital,1
1136,digital light,1
1137,light microscope,1
1138,microscope study,1
1139,study archaeological,1
1140,artefacts retrieved,1
1141,retrieved shipwrecks,1
1142,shipwrecks web,1
1143,web repository,1
1144,repository digital,1
1145,digital cultural,1
1146,heritage models,1
1147,models integrating,1
1148,integrating digital,1
1149,digital conventional,1
1150,conventional recording,1
1151,recording techniques,1
1152,techniques documentation,1
1153,documentation reconstruction,1
1154,reconstruction wooden,1
1155,wooden ship,1
1156,ship alexandria,1
1157,alexandria va,1
1158,va peristyle,1
1159,peristyle temple,1
1160,temple apollo,1
1161,apollo syracuse,1
1162,syracuse historical,1
1163,historical hypotheses,1
1164,hypotheses reconstruction,1
1165,reconstruction revisited,1
1166,revisited finite,1
1167,finite element,2
1168,element analysis,1
1169,analysis determination,1
1170,determination ceramic,1
1171,ceramic tile,1
1172,tile colour,1
1173,colour surface,1
1174,surface areas,1
1175,areas medieval,1
1176,medieval madrasah,1
1177,madrasah mosaic,1
1178,mosaic samarkand,1
1179,samarkand problems,1
1180,problems solutions,1
1181,solutions methods,1
1182,methods applicability,1
1183,applicability unmanned,1
1184,unmanned aerial,1
1185,aerial vehicle,1
1186,vehicle uav,1
1187,uav technology,1
1188,technology recording,1
1189,recording fossilised,1
1190,fossilised footprints,1
1191,footprints narralive,1
1192,narralive creating,1
1193,creating experiencing,1
1194,experiencing mobile,1
1195,mobile digital,1
1196,digital storytelling,1
1197,storytelling cultural,1
1198,heritage stepping,1
1199,stepping stones,1
1200,stones virtual,1
1201,virtual restoration,1
1202,restoration visualisation,1
1203,visualisation tessellated,1
1204,tessellated century,1
1205,century byzantine,1
1206,byzantine synagogue,1
1207,synagogue floor,1
1208,floor apamea,1
1209,apamea orontes,1
1210,orontes syria,1
1211,syria improving,1
1212,improving governance,1
1213,governance quality,1
1214,quality global,1
1215,global standard,1
1216,standard setting,1
1217,setting experiences,1
1218,experiences extractive,1
1219,extractive industries,2
1220,industries transparency,1
1221,transparency initiative,1
1222,initiative indonesia,1
1223,indonesia social,1
1224,social factors,1
1225,factors mine,1
1226,mine site,1
1227,site selection,1
1228,selection niobium,1
1229,niobium critical,1
1230,critical canada,1
1231,canada factors,1
1232,factors eroding,1
1233,eroding enterprise,1
1234,enterprise development,2
1235,development ghana,1
1236,ghana oil,1
1237,oil gas,2
1238,gas sector,2
1239,sector critical,1
1240,critical reflection,1
1241,reflection enterprise,1
1242,development centre,1
1243,centre failed,1
1244,failed exploring,1
1245,exploring social,1
1246,social geology,1
1247,geology approach,1
1248,approach eastern,1
1249,eastern indonesia,1
1250,indonesia mining,1
1251,mining territories,3
1252,territories genealogy,1
1253,genealogy mining,1
1254,territories atacama,1
1255,atacama desert,1
1256,desert production,1
1257,production modern,1
1258,modern waterscapes,1
1259,waterscapes tarapacá,1
1260,tarapacá region,1
1261,region northern,1
1262,northern chile,2
1263,chile guiding,1
1264,guiding principles,1
1265,principles transformation,1
1266,transformation processes,1
1267,processes coal,1
1268,coal german,1
1269,german case,1
1270,case lusatia,1
1271,lusatia mining,1
1272,mining region,1
1273,region value,1
1274,value vulnerabilities,1
1275,vulnerabilities evolutions,1
1276,evolutions mine,1
1277,mine life,1
1278,life cycle,1
1279,cycle mine,1
1280,mine decline,1
1281,decline women,1
1282,women reflections,1
1283,reflections free,1
1284,free state,1
1285,state goldfields,1
1286,goldfields estimating,1
1287,estimating environmental,1
1288,environmental cost,1
1289,cost mixed,1
1290,mixed rare,1
1291,rare earth,1
1292,earth production,1
1293,production willingness,1
1294,pay case,1
1295,study baotou,1
1296,baotou china,1
1297,china territorial,1
1298,territorial experience,1
1299,experience making,1
1300,making global,1
1301,global norms,1
1302,norms quellaveco,1
1303,quellaveco dialogue,1
1304,dialogue roundtable,1
1305,roundtable changed,1
1306,changed game,1
1307,game mining,1
1308,mining regulation,1
1309,regulation peru,1
1310,peru landscapes,1
1311,landscapes endogenous,1
1312,endogenous development,1
1313,development potential,1
1314,potential towns,1
1315,towns examples,1
1316,examples central,1
1317,central europe,3
1318,europe former,1
1319,former mining,1
1320,mining area,1
1321,area santa,1
1322,santa barbara,1
1323,barbara tuscany,1
1324,tuscany spatial,1
1325,spatial strategy,1
1326,strategy regeneration,1
1327,regeneration reconciling,1
1328,reconciling standards,1
1329,standards operational,1
1330,operational needs,1
1331,needs mining,1
1332,mining projects,2
1333,projects africa,1
1334,africa examples,1
1335,examples guinea,1
1336,guinea conditions,1
1337,conditions territorial,1
1338,territorial anchorage,1
1339,anchorage natural,1
1340,natural gas,2
1341,gas exploitation,1
1342,exploitation project,1
1343,project gold,1
1344,gold mining,4
1345,mining french,1
1346,french guiana,2
1347,guiana classification,1
1348,classification mining,1
1349,projects risk,1
1350,risk assessment,2
1351,assessment territorial,1
1352,territorial scale,1
1353,scale mining,1
1354,mining value,1
1355,value place,1
1356,place new,1
1357,new caledonia,2
1358,caledonia negotiation,1
1359,negotiation evaluation,1
1360,evaluation recognition,1
1361,recognition trace,1
1362,trace metals,1
1363,metals dispersion,1
1364,dispersion years,1
1365,years mining,1
