,vocabs,frequency
99,actors maya biosphere,1
100,maya biosphere reserve,1
101,biosphere reserve food,1
102,reserve food education,1
103,food education child,1
104,education child nutrition,1
105,child nutrition program,1
106,nutrition program mgd,1
107,program mgd comparative,1
108,mgd comparative analysis,1
109,comparative analysis reading,1
110,analysis reading comprehension,1
111,reading comprehension gains,1
112,comprehension gains central,1
113,gains central america,1
114,central america management,1
115,america management fisheries,1
116,management fisheries sierra,1
117,fisheries sierra leone,1
118,sierra leone answer,1
119,leone answer problems,1
120,answer problems women,1
121,problems women roles,1
122,women roles vegetable,1
123,roles vegetable production,1
124,vegetable production marketing,1
125,production marketing income,1
126,marketing income utilization,1
127,income utilization nepal,1
128,utilization nepal hills,1
129,nepal hills communities,1
130,hills communities gender,1
131,communities gender gap,1
132,gender gap intergenerational,1
133,gap intergenerational mobility,1
134,intergenerational mobility association,1
135,mobility association presence,1
136,association presence sanitation,1
137,presence sanitation facilities,1
138,sanitation facilities school,1
139,facilities school enrolment,1
140,school enrolment pakistan,1
141,enrolment pakistan burdens,1
142,pakistan burdens benefits,1
143,burdens benefits impacts,1
144,benefits impacts mobile,1
145,impacts mobile phone,1
146,mobile phone ownership,1
147,phone ownership tanzania,1
148,ownership tanzania success,1
149,tanzania success combating,1
150,success combating pandemic,1
151,combating pandemic role,1
152,pandemic role fast,1
153,role fast policy,1
154,fast policy responses,1
155,policy responses climate,1
156,responses climate induced,1
157,climate induced vulnerability,1
158,induced vulnerability poverty,1
159,vulnerability poverty among,1
160,poverty among smallholder,1
161,among smallholder farmers,1
162,smallholder farmers evidence,1
163,farmers evidence malawi,1
164,evidence malawi adapting,1
165,malawi adapting drought,1
166,adapting drought extreme,1
167,drought extreme climate,1
168,extreme climate hunger,1
169,climate hunger safety,1
170,hunger safety net,1
171,safety net programme,1
172,net programme kenya,1
173,programme kenya designing,1
174,kenya designing mobile,1
175,designing mobile financial,1
176,mobile financial services,1
177,financial services learning,1
178,services learning financial,1
179,learning financial diaries,1
180,financial diaries urban,1
181,diaries urban poor,1
182,urban poor india,1
183,poor india aid,1
184,india aid africa,1
185,aid africa agriculture,1
186,africa agriculture towards,1
187,agriculture towards building,1
188,towards building physical,1
189,building physical capital,1
190,physical capital empirical,1
191,capital empirical evidence,1
192,empirical evidence implications,1
193,evidence implications food,1
194,implications food insecurity,1
195,food insecurity longitudinal,1
196,insecurity longitudinal study,1
197,longitudinal study agriculture,1
198,study agriculture households,1
199,agriculture households indonesia,1
200,households indonesia effect,1
201,indonesia effect land,1
202,effect land labor,1
203,land labor mobility,1
204,labor mobility welfare,1
205,mobility welfare poverty,1
206,welfare poverty dynamics,1
207,poverty dynamics wider,1
208,dynamics wider nets,1
209,wider nets credit,1
210,nets credit mixed,1
211,credit mixed methods,1
212,mixed methods analysis,1
213,methods analysis informal,1
214,analysis informal lending,1
215,informal lending caste,1
216,lending caste relations,1
217,caste relations bihar,1
218,relations bihar addressing,1
219,bihar addressing gendered,1
220,addressing gendered varietal,1
221,gendered varietal trait,1
222,varietal trait preferences,1
223,trait preferences west,1
224,preferences west african,1
225,west african maize,1
226,african maize microcredit,1
227,maize microcredit intervention,1
228,microcredit intervention change,1
229,intervention change life,1
230,change life households,1
231,life households rural,1
232,households rural vietnam,1
233,rural vietnam evidence,1
234,vietnam evidence panel,1
235,evidence panel data,2
236,panel data flyer,1
237,data flyer dilemma,1
238,flyer dilemma logger,1
239,dilemma logger case,1
240,logger case climate,1
241,case climate justice,1
242,climate justice extent,1
243,justice extent farm,1
244,extent farm households,1
245,farm households diversify,1
246,households diversify implications,1
247,diversify implications multidimensional,1
248,implications multidimensional poverty,1
249,multidimensional poverty ghana,1
250,poverty ghana marginalized,1
251,ghana marginalized people,1
252,marginalized people uganda,1
253,people uganda alternative,1
254,uganda alternative realities,1
255,alternative realities batwa,1
256,realities batwa bwindi,1
257,batwa bwindi impenetrable,1
258,bwindi impenetrable national,1
259,impenetrable national park,1
260,national park women,1
261,park women approach,1
262,women approach farming,1
263,approach farming context,1
264,farming context feminization,1
265,context feminization agriculture,1
266,feminization agriculture case,1
267,agriculture case study,1
268,case study middle,1
269,study middle hills,1
270,middle hills nepal,2
271,hills nepal strategy,1
272,nepal strategy development,1
273,strategy development clusters,1
274,development clusters understanding,1
275,clusters understanding past,1
276,understanding past plan,1
277,past plan future,1
278,plan future fisheries,1
279,future fisheries ilha,1
280,fisheries ilha grande,1
281,ilha grande bay,1
282,grande bay brazil,1
283,bay brazil world,1
284,brazil world librarians,1
285,world librarians system,1
286,librarians system providing,1
287,system providing library,1
288,providing library search,1
289,library search services,1
290,search services offline,1
291,services offline schools,1
292,offline schools libraries,1
293,schools libraries malawi,1
294,libraries malawi improving,1
295,malawi improving living,1
296,improving living conditions,1
297,living conditions displacees,1
298,conditions displacees review,1
299,displacees review evidence,1
300,review evidence benefit,1
301,evidence benefit sharing,1
302,benefit sharing scheme,1
303,sharing scheme development,1
304,scheme development induced,1
305,development induced displacement,1
306,induced displacement resettlement,1
307,displacement resettlement didr,1
308,resettlement didr urban,1
309,didr urban jakarta,1
310,urban jakarta indonesia,1
311,jakarta indonesia participation,1
312,indonesia participation voluntary,1
313,participation voluntary cocoa,1
314,voluntary cocoa certification,1
315,cocoa certification scheme,1
316,certification scheme impact,1
317,scheme impact smallholder,1
318,impact smallholder welfare,1
319,smallholder welfare evidence,1
320,welfare evidence ghana,1
321,evidence ghana vulnerability,1
322,ghana vulnerability mapping,1
323,vulnerability mapping conceptual,1
324,mapping conceptual framework,1
325,conceptual framework towards,1
326,framework towards approach,1
327,towards approach women,1
328,approach women empowerment,1
329,women empowerment local,1
330,empowerment local incentive,1
331,local incentive structures,1
332,incentive structures constitution,1
333,structures constitution enterprises,1
334,constitution enterprises forest,1
335,enterprises forest citizen,1
336,forest citizen participation,1
337,citizen participation dilemmas,1
338,participation dilemmas water,1
339,dilemmas water governance,1
340,water governance empirical,1
341,governance empirical case,1
342,empirical case kumasi,1
343,case kumasi ghana,1
344,kumasi ghana female,1
345,ghana female matters,1
346,female matters impact,1
347,matters impact workfare,1
348,impact workfare program,1
349,workfare program female,1
350,program female rural,1
351,female rural india,1
352,rural india dissemination,1
353,india dissemination perception,1
354,dissemination perception adaptation,1
355,perception adaptation insights,1
356,adaptation insights coastal,1
357,insights coastal area,1
358,coastal area bangladesh,1
359,area bangladesh insertion,1
360,bangladesh insertion mexico,1
361,insertion mexico global,1
362,mexico global value,1
363,global value chain,1
364,value chain berries,1
365,chain berries climate,1
366,berries climate information,1
367,climate information salvage,1
368,information salvage livelihoods,1
369,salvage livelihoods arid,1
370,livelihoods arid semiarid,1
371,arid semiarid lands,1
372,semiarid lands evaluation,1
373,lands evaluation access,1
374,evaluation access use,1
375,access use impact,1
376,use impact namibia,1
377,impact namibia climate,1
378,namibia climate farmers,1
379,climate farmers willingness,1
380,farmers willingness pay,1
381,willingness pay improved,1
382,pay improved irrigation,1
383,improved irrigation water,1
384,irrigation water supply,1
385,water supply resilience,1
386,supply resilience capacities,1
387,resilience capacities household,1
388,capacities household nutrition,1
389,household nutrition presence,1
390,nutrition presence shocks,1
391,presence shocks evidence,1
392,shocks evidence malawi,1
393,evidence malawi weather,1
394,malawi weather insurance,1
395,weather insurance perennial,1
396,insurance perennial crops,1
397,perennial crops case,1
398,crops case study,1
399,case study insurance,1
400,study insurance supply,1
401,insurance supply demand,1
402,supply demand cocoa,1
403,demand cocoa farmers,1
404,cocoa farmers ghana,1
405,farmers ghana social,1
406,ghana social sustainability,1
407,social sustainability argan,1
408,sustainability argan boom,1
409,argan boom green,1
410,boom green development,1
411,green development morocco,1
412,development morocco present,1
413,morocco present issues,1
414,present issues efforts,1
415,issues efforts integrate,1
416,efforts integrate sustainable,1
417,integrate sustainable development,1
418,sustainable development goals,2
419,development goals local,1
420,goals local senior,1
421,local senior high,1
422,senior high school,1
423,high school japan,1
424,school japan case,1
425,japan case study,1
426,case study sustainable,1
427,study sustainable planning,1
428,sustainable planning design,1
429,planning design urban,1
430,design urban climate,1
431,urban climate solutions,1
432,climate solutions healthy,1
433,solutions healthy livable,1
434,healthy livable urban,1
435,livable urban rural,1
436,urban rural areas,1
437,rural areas tree,1
438,areas tree crown,1
439,tree crown geometry,1
440,crown geometry performances,1
441,geometry performances human,1
442,performances human thermal,1
443,human thermal comfort,1
444,thermal comfort adjustment,1
445,comfort adjustment spatial,1
446,adjustment spatial suitability,1
447,spatial suitability assessment,1
448,suitability assessment planning,1
449,assessment planning infrastructure,1
450,planning infrastructure facilities,1
451,infrastructure facilities site,1
452,facilities site level,1
453,site level hill,1
454,level hill areas,1
455,hill areas characterizing,1
456,areas characterizing landscape,1
457,characterizing landscape patterns,1
458,landscape patterns interfaces,1
459,patterns interfaces drive,1
460,interfaces drive impacts,1
461,drive impacts planning,1
462,impacts planning policies,1
463,planning policies urban,1
464,policies urban form,1
465,urban form mobility,1
466,form mobility behavior,1
467,mobility behavior kuala,1
468,behavior kuala lumpur,1
469,kuala lumpur malaysia,1
470,lumpur malaysia performance,1
471,malaysia performance evaluation,1
472,performance evaluation urban,1
473,evaluation urban ventilation,1
474,urban ventilation corridors,1
475,ventilation corridors based,1
476,corridors based least,1
477,based least cost,1
478,least cost path,1
479,cost path assessing,1
480,path assessing municipal,1
481,assessing municipal service,1
482,municipal service quality,1
483,service quality residential,1
484,quality residential neighborhoods,1
485,residential neighborhoods based,1
486,neighborhoods based servqual,1
487,based servqual ahp,1
488,servqual ahp citizen,1
489,ahp citizen score,1
490,citizen score card,1
491,score card case,1
492,card case study,1
493,case study dhaka,1
494,study dhaka north,1
495,dhaka north city,1
496,north city corporation,1
497,city corporation area,1
498,corporation area bangladesh,1
499,area bangladesh impact,1
500,bangladesh impact pandemic,1
501,impact pandemic services,1
502,pandemic services based,1
503,services based twitter,1
504,based twitter data,1
505,twitter data analysis,1
506,data analysis revisiting,1
507,analysis revisiting built,1
508,revisiting built environment,1
509,built environment potential,1
510,environment potential development,1
511,potential development changes,1
512,development changes paradigm,1
513,changes paradigm shifts,1
514,paradigm shifts due,1
515,shifts due time,1
516,due time series,1
517,time series analysis,1
518,series analysis land,1
519,analysis land use,1
520,land use land,2
521,use land cover,2
522,land cover changes,2
523,cover changes related,1
524,changes related urban,1
525,related urban heat,1
526,urban heat island,5
527,heat island intensity,2
528,island intensity case,1
529,intensity case bangkok,1
530,case bangkok metropolitan,1
531,bangkok metropolitan area,1
532,metropolitan area thailand,1
533,area thailand optimisation,1
534,thailand optimisation approach,1
535,optimisation approach road,1
536,approach road sanitation,1
537,road sanitation workforce,1
538,sanitation workforce planning,1
539,workforce planning using,1
540,planning using differential,1
541,using differential evolution,1
542,differential evolution transition,1
543,evolution transition new,1
544,transition new normal,1
545,new normal lens,1
546,normal lens urban,1
547,lens urban spatial,1
548,urban spatial data,1
549,spatial data science,1
550,data science agenda,1
551,science agenda drivers,1
552,agenda drivers barriers,1
553,drivers barriers adoption,1
554,barriers adoption indian,1
555,adoption indian cities,1
556,indian cities evidence,1
557,cities evidence urban,1
558,evidence urban spatial,1
559,urban spatial possible,1
560,spatial possible impacts,1
561,possible impacts outbreak,1
562,impacts outbreak real,1
563,outbreak real estate,1
564,real estate sector,1
565,estate sector possible,1
566,sector possible changes,1
567,possible changes adopt,1
568,changes adopt situation,1
569,adopt situation analysis,1
570,situation analysis general,1
571,analysis general assessment,1
572,general assessment turkish,1
573,assessment turkish perspective,1
574,turkish perspective impact,1
575,perspective impact urban,1
576,impact urban mobility,1
577,urban mobility smart,1
578,mobility smart work,1
579,smart work collaborative,1
580,work collaborative space,1
581,collaborative space perspective,1
582,space perspective global,1
583,perspective global pandemic,1
584,global pandemic teach,1
585,pandemic teach us,1
586,teach us reflections,1
587,us reflections driving,1
588,reflections driving factors,1
589,driving factors formation,1
590,factors formation development,1
591,formation development change,1
592,development change spatial,1
593,change spatial structure,1
594,spatial structure metropolitan,1
595,structure metropolitan areas,1
596,metropolitan areas systematic,1
597,areas systematic review,1
598,systematic review strategic,1
599,review strategic decisions,1
600,strategic decisions urban,1
601,decisions urban built,1
602,urban built environment,1
603,built environment pandemics,1
604,environment pandemics turkey,1
605,pandemics turkey lessons,1
606,turkey lessons classification,1
607,lessons classification strategies,1
608,classification strategies method,1
609,strategies method xuzhou,1
610,method xuzhou city,1
611,xuzhou city example,1
612,city example approach,1
613,example approach evaluating,1
614,approach evaluating environmental,1
615,evaluating environmental influences,1
616,environmental influences active,1
617,influences active public,1
618,active public transport,1
619,public transport accessibility,1
620,transport accessibility university,1
621,accessibility university students,1
622,university students analyses,1
623,students analyses modeling,1
624,analyses modeling urban,1
625,modeling urban land,1
626,urban land use,1
627,land use road,1
628,use road network,1
629,road network interactions,1
630,network interactions using,1
631,interactions using disaggregate,1
632,using disaggregate accessibility,1
633,disaggregate accessibility land,1
634,accessibility land use,1
635,land use analyses,1
636,use analyses land,1
637,analyses land use,1
638,land cover lulc,1
639,cover lulc change,1
640,lulc change expansion,1
641,change expansion suburb,1
642,expansion suburb metropolitan,1
643,suburb metropolitan city,1
644,metropolitan city analysis,1
645,city analysis delhi,1
646,analysis delhi ncr,1
647,delhi ncr using,1
648,ncr using landsat,1
649,using landsat datasets,1
650,landsat datasets establishing,1
651,datasets establishing metropolitan,1
652,establishing metropolitan governance,1
653,metropolitan governance local,1
654,governance local governance,1
655,local governance simultaneously,1
656,governance simultaneously lesson,1
657,simultaneously lesson india,1
658,lesson india constitutional,1
659,india constitutional amendment,1
660,constitutional amendment act,1
661,amendment act urban,1
662,act urban resilience,1
663,urban resilience urban,1
664,resilience urban management,1
665,urban management perspective,1
666,management perspective value,1
667,perspective value environmental,1
668,value environmental dis,1
669,environmental dis amenities,1
670,dis amenities urban,1
671,amenities urban housing,1
672,urban housing market,1
673,housing market evidence,1
674,market evidence khulna,1
675,evidence khulna bangladesh,1
676,khulna bangladesh urban,1
677,bangladesh urban management,1
678,urban management mapping,1
679,management mapping landscape,1
680,mapping landscape spatial,1
681,landscape spatial distribution,1
682,spatial distribution waste,1
683,distribution waste collection,1
684,waste collection points,1
685,collection points implications,1
686,points implications quality,1
687,implications quality life,1
688,quality life mombasa,1
689,life mombasa county,1
690,mombasa county kenya,1
691,county kenya learning,1
692,kenya learning tradition,1
693,learning tradition role,1
694,tradition role environment,1
695,role environment perception,1
696,environment perception layers,1
697,perception layers space,1
698,layers space case,1
699,space case persian,1
700,case persian garden,1
701,persian garden impact,1
702,garden impact urban,1
703,impact urban microfinance,1
704,urban microfinance livelihood,1
705,microfinance livelihood strategies,1
706,livelihood strategies borrower,1
707,strategies borrower slum,1
708,borrower slum dwellers,1
709,slum dwellers dhaka,1
710,dwellers dhaka city,1
711,dhaka city bangladesh,1
712,city bangladesh residents,1
713,bangladesh residents petitions,1
714,residents petitions based,1
715,petitions based text,1
716,based text mining,1
717,text mining ecology,1
718,mining ecology new,1
719,ecology new urban,1
720,new urban program,1
721,urban program case,1
722,program case study,1
723,case study penang,1
724,study penang state,1
725,penang state brand,1
726,state brand affordable,1
727,brand affordable housing,1
728,affordable housing program,1
729,housing program regional,1
730,program regional urban,1
731,regional urban environmental,1
732,urban environmental quality,1
733,environmental quality assessment,1
734,quality assessment spatial,1
735,assessment spatial analysis,1
736,spatial analysis location,1
737,analysis location public,1
738,location public service,1
739,public service facilities,1
740,service facilities urban,1
741,facilities urban comprehensive,1
742,urban comprehensive park,1
743,comprehensive park using,1
744,park using configuration,1
745,using configuration model,1
746,configuration model cities,1
747,model cities learn,1
748,cities learn evidence,1
749,learn evidence china,1
750,evidence china plans,1
751,china plans solvability,1
752,plans solvability urban,1
753,solvability urban complexity,1
754,urban complexity novel,1
755,complexity novel condominium,1
756,novel condominium management,1
757,condominium management mode,1
758,management mode taiwan,1
759,mode taiwan effective,1
760,taiwan effective management,1
761,effective management case,1
762,management case study,1
763,case study kalaburagi,1
764,study kalaburagi city,1
765,kalaburagi city karnataka,1
766,city karnataka india,1
767,karnataka india towards,1
768,india towards vertical,1
769,towards vertical spatial,1
770,vertical spatial equity,1
771,spatial equity urban,1
772,equity urban facilities,1
773,urban facilities integration,1
774,facilities integration spatial,1
775,integration spatial aspatial,1
776,spatial aspatial accessibility,1
777,aspatial accessibility participation,1
778,accessibility participation solid,1
779,participation solid waste,1
780,solid waste management,1
781,waste management lessons,1
782,management lessons advanced,1
783,lessons advanced locality,1
784,advanced locality management,1
785,locality management alm,1
786,management alm programme,1
787,alm programme mumbai,1
788,programme mumbai frugality,1
789,mumbai frugality interactions,1
790,frugality interactions absorptive,1
791,interactions absorptive capacity,1
792,absorptive capacity transport,1
793,capacity transport urban,1
794,transport urban heat,1
795,island intensity mitigation,1
796,intensity mitigation strategies,1
797,mitigation strategies urban,1
798,strategies urban area,1
799,urban area effects,1
800,area effects land,1
801,effects land use,1
802,land use plans,1
803,use plans urban,1
804,plans urban development,1
805,urban development property,1
806,development property rights,1
807,property rights approach,1
808,rights approach victoria,1
809,approach victoria theatre,1
810,victoria theatre virtual,1
811,theatre virtual reality,1
812,virtual reality digital,1
813,reality digital heritage,1
814,digital heritage case,1
815,heritage case study,1
816,case study user,1
817,study user experience,1
818,user experience design,1
819,experience design virtual,1
820,design virtual reconstruction,1
821,virtual reconstruction historic,1
822,reconstruction historic city,1
823,historic city qatar,1
824,city qatar strategic,1
825,qatar strategic planning,1
826,strategic planning virtual,1
827,planning virtual exhibitions,1
828,virtual exhibitions visitors,1
829,exhibitions visitors experience,1
830,visitors experience multidisciplinary,1
831,experience multidisciplinary approach,1
832,multidisciplinary approach museums,1
833,approach museums digital,1
834,museums digital age,1
835,digital age potential,1
836,age potential problems,1
837,potential problems volumetric,1
838,problems volumetric modeling,1
839,volumetric modeling archaeological,1
840,modeling archaeological stratigraphic,1
841,archaeological stratigraphic analysis,1
842,stratigraphic analysis case,1
843,analysis case study,1
844,case study cyprus,1
845,study cyprus paradigm,1
846,cyprus paradigm technological,1
847,paradigm technological convergence,1
848,technological convergence digital,1
849,convergence digital transformation,1
850,digital transformation challenges,1
851,transformation challenges ch,1
852,challenges ch sectors,1
853,ch sectors global,1
854,sectors global pandemic,1
855,global pandemic commencing,1
856,pandemic commencing structure,1
857,commencing structure era,1
858,structure era digital,1
859,era digital modeling,1
860,digital modeling using,1
861,modeling using photogrammetry,1
862,using photogrammetry printing,1
863,photogrammetry printing applied,1
864,printing applied restoration,1
865,applied restoration architectural,1
866,restoration architectural ornament,1
867,architectural ornament radial,1
868,ornament radial distribution,1
869,radial distribution figures,1
870,distribution figures leonardo,1
871,figures leonardo renaissance,1
872,leonardo renaissance paintings,1
873,renaissance paintings photogrammetric,1
874,paintings photogrammetric modeling,1
875,photogrammetric modeling central,1
876,modeling central ravine,1
877,central ravine sanctuary,1
878,ravine sanctuary great,1
879,sanctuary great gods,1
880,great gods samothrace,1
881,gods samothrace method,1
882,samothrace method reproduce,1
883,method reproduce analyse,1
884,reproduce analyse ancient,1
885,analyse ancient moulded,1
886,ancient moulded artefacts,1
887,moulded artefacts within,1
888,artefacts within symbolic,1
889,within symbolic world,1
890,symbolic world prehistoric,1
891,world prehistoric hunters,1
892,prehistoric hunters model,1
893,hunters model analysis,1
894,model analysis sites,1
895,analysis sites complexes,1
896,sites complexes linear,1
897,complexes linear incisions,1
898,linear incisions western,1
899,incisions western sicily,1
900,western sicily visualization,1
901,sicily visualization subsurface,1
902,visualization subsurface objects,1
903,subsurface objects la,1
904,objects la brea,1
905,la brea tar,1
906,brea tar pits,1
907,tar pits los,1
908,pits los angeles,1
909,los angeles ca,1
910,angeles ca photogrammetric,1
911,ca photogrammetric unfolding,1
912,photogrammetric unfolding rolled,1
913,unfolding rolled tin,1
914,rolled tin headbands,1
915,tin headbands early,1
916,headbands early bronze,1
917,early bronze age,1
918,bronze age photogrammetry,1
919,age photogrammetry assessing,1
920,photogrammetry assessing application,1
921,assessing application potential,1
922,application potential effectiveness,1
923,potential effectiveness archaeological,1
924,effectiveness archaeological monitoring,1
925,archaeological monitoring surveying,1
926,monitoring surveying research,1
927,surveying research valley,1
928,research valley kings,1
929,valley kings tuva,1
930,kings tuva russia,1
931,tuva russia monitoring,1
932,russia monitoring paleolithic,1
933,monitoring paleolithic archaeological,1
934,paleolithic archaeological excavations,1
935,archaeological excavations using,1
936,excavations using terrestrial,1
937,using terrestrial laser,2
938,terrestrial laser scanner,1
939,laser scanner systems,1
940,scanner systems sierra,1
941,systems sierra de,1
942,sierra de atapuerca,1
943,de atapuerca railway,1
944,atapuerca railway trench,1
945,railway trench sites,1
946,trench sites burgos,1
947,sites burgos n,1
948,burgos n spain,1
949,n spain masons,1
950,spain masons marks,1
951,masons marks aleppo,1
952,marks aleppo study,1
953,aleppo study defensive,1
954,study defensive tower,1
955,defensive tower old,1
956,tower old aleppo,1
957,old aleppo using,1
958,aleppo using laser,1
959,using laser scanning,1
960,laser scanning photogrammetry,1
961,scanning photogrammetry identification,1
962,photogrammetry identification classification,1
963,identification classification affordances,1
964,classification affordances digital,1
965,affordances digital haptic,1
966,digital haptic visualisation,1
967,haptic visualisation heritage,1
968,visualisation heritage accessibility,1
969,heritage accessibility archive,1
970,accessibility archive archaeology,1
971,archive archaeology palmyra,1
972,archaeology palmyra syria,1
973,palmyra syria new,1
974,syria new reconstruction,1
975,new reconstruction tomb,1
976,reconstruction tomb ḥairan,1
977,tomb ḥairan geometric,1
978,ḥairan geometric accuracy,1
979,geometric accuracy semantic,1
980,accuracy semantic richness,1
981,semantic richness heritage,1
982,richness heritage bim,1
983,heritage bim review,1
984,bim review digital,1
985,review digital photogrammetry,1
986,digital photogrammetry tool,1
987,photogrammetry tool mensiochronological,1
988,tool mensiochronological analysis,1
989,mensiochronological analysis case,1
990,analysis case maria,1
991,case maria veterana,1
992,maria veterana archaeological,1
993,veterana archaeological site,1
994,archaeological site triggiano,1
995,site triggiano italy,1
996,triggiano italy parametric,1
997,italy parametric modeling,1
998,parametric modeling heritage,1
999,modeling heritage interpretation,1
1000,heritage interpretation reconstruction,1
1001,interpretation reconstruction virtual,1
1002,reconstruction virtual archaeology,1
1003,virtual archaeology interpretative,1
1004,archaeology interpretative process,1
1005,interpretative process case,1
1006,process case study,1
1007,case study virtual,1
1008,study virtual reconstitution,1
1009,virtual reconstitution hercules,1
1010,reconstitution hercules marble,1
1011,hercules marble statue,1
1012,marble statue nameless,1
1013,statue nameless temple,1
1014,nameless temple tipasa,1
1015,temple tipasa conserving,1
1016,tipasa conserving thangka,1
1017,conserving thangka technical,1
1018,thangka technical approach,1
1019,technical approach unto,1
1020,approach unto preservation,1
1021,unto preservation buddhist,1
1022,preservation buddhist thangka,1
1023,buddhist thangka automation,1
1024,thangka automation scanning,1
1025,automation scanning antique,1
1026,scanning antique glass,1
1027,antique glass combining,1
1028,glass combining photography,1
1029,combining photography computed,1
1030,photography computed tomography,1
1031,computed tomography model,1
1032,tomography model geomaterials,1
1033,model geomaterials ancient,1
1034,geomaterials ancient centre,1
1035,ancient centre naples,1
1036,centre naples italy,1
1037,naples italy towards,1
1038,italy towards integrated,1
1039,towards integrated approach,1
1040,integrated approach cultural,1
1041,approach cultural heritage,1
1042,cultural heritage virtual,1
1043,heritage virtual interactive,1
1044,virtual interactive museum,1
1045,interactive museum archaeological,1
1046,museum archaeological artefacts,1
1047,archaeological artefacts afrasiyab,1
1048,artefacts afrasiyab ancient,1
1049,afrasiyab ancient city,1
1050,ancient city silk,1
1051,city silk road,1
1052,silk road digital,1
1053,road digital interaction,1
1054,digital interaction archaeological,1
1055,interaction archaeological artefacts,1
1056,archaeological artefacts evaluating,1
1057,artefacts evaluating user,1
1058,evaluating user behaviours,1
1059,user behaviours different,1
1060,behaviours different representation,1
1061,different representation scales,1
1062,representation scales defining,1
1063,scales defining study,1
1064,defining study contribution,1
1065,study contribution machine,1
1066,contribution machine automation,1
1067,machine automation archaeological,1
1068,automation archaeological research,1
1069,archaeological research calculating,1
1070,research calculating tonnage,1
1071,calculating tonnage dimension,1
1072,tonnage dimension cargoes,1
1073,dimension cargoes marble,1
1074,cargoes marble roman,1
1075,marble roman period,1
1076,roman period comparative,1
1077,period comparative analysis,1
1078,comparative analysis digital,1
1079,analysis digital photogrammetry,1
1080,digital photogrammetry software,1
1081,photogrammetry software cultural,1
1082,software cultural heritage,1
1083,cultural heritage distant,1
1084,heritage distant augmented,1
1085,distant augmented reality,1
1086,augmented reality bringing,1
1087,reality bringing new,1
1088,bringing new dimension,1
1089,new dimension user,1
1090,dimension user experience,1
1091,user experience using,1
1092,experience using drones,1
1093,using drones describing,1
1094,drones describing comparing,1
1095,describing comparing analysing,1
1096,comparing analysing digital,1
1097,analysing digital urban,1
1098,digital urban heritage,1
1099,urban heritage tools,1
1100,heritage tools methodology,1
1101,tools methodology designed,1
1102,methodology designed multidisciplinary,1
1103,designed multidisciplinary approach,1
1104,multidisciplinary approach method,1
1105,approach method similarity,1
1106,method similarity assessment,1
1107,similarity assessment death,1
1108,assessment death masks,1
1109,death masks portraits,1
1110,masks portraits linear,1
1111,portraits linear projection,1
1112,linear projection case,1
1113,projection case vincenzo,1
1114,case vincenzo bellini,1
1115,vincenzo bellini field,1
1116,bellini field experience,1
1117,field experience documentation,1
1118,experience documentation analysis,1
1119,documentation analysis mapping,1
1120,analysis mapping surface,1
